id,charges
0,7153.5539
1,2103.08
2,6666.243
3,3021.80915
4,4347.02335
5,2205.9808
6,17081.08
7,16420.49455
8,43254.41795
9,6500.2359
10,8269.044
11,16776.30405
12,23807.2406
13,5662.225
14,14001.2867
15,11741.726
16,34838.873
17,5458.04645
18,21232.182259999998
19,40720.55105
20,10806.839
21,12479.70895
22,26018.95052
23,39774.2763
24,9866.30485
25,1725.5523
26,20745.9891
27,12231.6136
28,4391.652
29,7045.499
30,6940.90985
31,3161.454
32,14418.2804
33,8823.98575
34,3732.6251
35,23244.7902
36,3861.20965
37,8968.33
38,5709.1644
39,14313.8463
40,1515.3449
41,34439.8559
42,12981.3457
43,5836.5204
44,7160.094
45,7639.41745
46,32734.1863
47,2494.022
48,6196.448
49,21195.818
50,2473.3341
51,2721.3208
52,5910.944
53,21797.0004
54,11520.09985
55,18838.70366
56,30184.9367
57,21344.8467
58,2904.0879999999997
59,22462.04375
60,6496.8859999999995
61,21677.28345
62,6571.544
63,6356.2707
64,18806.14547
65,10141.1362
66,2055.3249
67,24059.68019
68,7789.635
69,6799.4580000000005
70,6402.29135
71,1744.465
72,3847.6740000000004
73,1131.5066
74,22412.6485
75,10923.9332
76,13457.9608
77,1875.344
78,5729.0053
79,6113.23105
80,6686.4313
81,1632.03625
82,3981.9768
83,39836.519
84,7985.815
85,21774.32215
86,9225.2564
87,5757.41345
88,5138.2567
89,15019.76005
90,6186.1269999999995
91,11856.4115
92,8026.6666
93,28476.734989999997
94,22331.5668
95,2643.2685
96,8515.7587
97,13126.67745
98,14210.53595
99,21984.47061
100,12142.5786
101,48970.2476
102,48673.5588
103,8240.5896
104,11743.9341
105,9487.6442
106,9910.35985
107,8334.5896
108,6360.9936
109,8603.8234
110,41034.2214
111,3761.292
112,29330.98315
113,4877.98105
114,5966.8874
115,1121.8739
116,11881.9696
117,14455.64405
118,6112.35295
119,7281.5056
120,15006.57945
121,11884.04858
122,3206.49135
123,8930.93455
124,5327.40025
125,36397.576
126,8871.1517
127,5375.0380000000005
128,34828.654
129,1256.299
130,22192.43711
131,5708.866999999999
132,35491.64
133,2331.519
134,4795.6568
135,19521.9682
136,23401.30575
137,23563.016180000002
138,13880.948999999999
139,10807.4863
140,4349.462
141,16577.7795
142,28468.91901
143,19594.80965
144,11945.1327
145,36149.4835
146,6837.3687
147,9566.9909
148,5124.1887
149,13224.05705
150,46151.1245
151,39725.51805
152,3925.7582
153,9304.7019
154,2913.5690000000004
155,2155.6815
156,16138.76205
157,14571.8908
158,1261.859
159,37829.7242
160,3392.9768
161,19144.57652
162,20781.48892
163,39727.614
164,17929.303369999998
165,7419.4779
166,13974.45555
167,14478.33015
168,2680.9493
169,21098.55405
170,11848.141000000001
171,2219.4451
172,7337.7480000000005
173,2459.7201
174,10977.2063
175,1728.8970000000002
176,1242.816
177,13747.87235
178,39983.42595
179,8703.456
180,16297.846000000001
181,44400.4064
182,11073.176000000001
183,7640.3092
184,4766.022
185,4661.28635
186,9724.53
187,10848.1343
188,11286.5387
189,3935.1799
190,2867.1196
191,4399.731
192,4415.1588
193,16657.71745
194,26140.3603
195,8116.68
196,8428.0693
197,7633.7206
198,6198.7518
199,6389.37785
200,8534.6718
201,2250.8352
202,19199.944
203,5974.3847
204,2138.0707
205,34166.273
206,1639.5631
207,1625.43375
208,8823.279
209,14394.39815
210,24915.22085
211,19964.7463
212,13844.506000000001
213,5989.52365
214,7935.29115
215,19107.7796
216,10564.8845
217,3577.9990000000003
218,13393.756000000001
219,24915.04626
220,9264.796999999999
221,8965.79575
222,13616.3586
223,1826.8429999999998
224,10601.63225
225,3757.8448
226,8280.6227
227,5002.7827
228,4433.3877
229,4618.0799
230,12235.8392
231,9432.9253
232,17128.42608
233,11482.63485
234,2302.3
235,12925.886
236,4134.08245
237,9964.06
238,3385.39915
239,8162.71625
240,22218.1149
241,36189.1017
242,11842.442
243,2730.10785
244,6435.6237
245,11658.11505
246,8211.1002
247,10325.206
248,28101.33305
249,19673.335730000003
250,7173.35995
251,7222.78625
252,23045.56616
253,24476.47851
254,12146.971000000001
255,18328.2381
256,17352.6803
257,16085.1275
258,7418.522
259,4500.33925
260,6600.20595
261,36580.28216
262,11833.7823
263,35069.37452
264,7196.866999999999
265,2261.5688
266,18246.4955
267,10096.97
